MACROREGION_NAME,CATEGORY,SHOP_SKU,MARKET_SKU,OFFER_NAME,LENGTH,WIDTH,HEIGHT,VOLUME,TURNOVER,AMOUNT,MARKET_RECOMMENDATION,AVG_SOLD_VOLUME,AVG_SOLD_ITEMS,AVG_SOLD_VOLUME_ON_STOCK,ITEMS_ON_STOCK,_LOADED_AT,_SOURCE_FILE
Москва,"Одежда, обувь и аксессуары",T-S-001,100994134931,T-Shirt #1,350,250,40,3.5,2955.333333,-,,0.169355,0.048387,500,143,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",T-S-001,100994134931,T-Shirt #1,350,250,40,3.5,1694.666667,-,,0.169355,0.048387,287,82,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Москва,"Одежда, обувь и аксессуары",T-S-002,100023731241,T-Shirt #2,350,250,40,3.5,500.133333,-,,0.846774,0.241935,424,121,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",T-S-002,100023731241,T-Shirt #2,350,250,40,3.5,400.933333,-,,0.846774,0.241935,340,97,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Москва,"Одежда, обувь и аксессуары",T-S-003,100563929279,T-Shirt #3,350,250,40,3.5,Нет продаж,-,,0.0,0.0,640,183,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",T-S-003,100563929279,T-Shirt #3,350,250,40,3.5,Нет продаж,-,,0.0,0.0,536,153,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Москва,"Одежда, обувь и аксессуары",T-S-004,100112648476,T-Shirt #4,350,250,40,3.5,728.5,-,,0.451613,0.129032,329,94,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",T-S-004,100112648476,T-Shirt #4,350,250,40,3.5,472.75,-,,0.451613,0.129032,214,61,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Москва,"Одежда, обувь и аксессуары",T-S-005,100907478922,T-Shirt #5,350,250,40,3.5,9610.0,-,,0.056452,0.016129,542,155,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",T-S-005,100907478922,T-Shirt #5,350,250,40,3.5,10664.0,-,,0.056452,0.016129,602,172,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Москва,"Одежда, обувь и аксессуары",T-S-006,100904405552,T-Shirt #6,350,250,40,3.5,3007.0,-,,0.112903,0.032258,340,97,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",T-S-006,100904405552,T-Shirt #6,350,250,40,3.5,3317.0,-,,0.112903,0.032258,374,107,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Москва,"Одежда, обувь и аксессуары",T-S-007,100680139942,T-Shirt #7,350,250,40,3.5,983.142857,-,,0.395161,0.112903,388,111,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",T-S-007,100680139942,T-Shirt #7,350,250,40,3.5,1098.285714,-,,0.395161,0.112903,434,124,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Москва,"Одежда, обувь и аксессуары",T-S-008,100251702583,T-Shirt #8,350,250,40,3.5,1109.8,-,,0.564516,0.16129,626,179,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",T-S-008,100251702583,T-Shirt #8,350,250,40,3.5,843.2,-,,0.564516,0.16129,476,136,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Москва,"Одежда, обувь и аксессуары",T-S-009,100013765025,T-Shirt #9,350,250,40,3.5,725.4,-,,0.564516,0.16129,410,117,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",T-S-009,100013765025,T-Shirt #9,350,250,40,3.5,601.4,-,,0.564516,0.16129,340,97,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Москва,"Одежда, обувь и аксессуары",T-S-010,100415241284,T-Shirt #10,350,250,40,3.5,391.84,-,,1.41129,0.403226,553,158,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",T-S-010,100415241284,T-Shirt #10,350,250,40,3.5,190.96,-,,1.41129,0.403226,270,77,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Москва,"Одежда, обувь и аксессуары",T-S-011,100875322066,T-Shirt #11,350,250,40,3.5,1131.5,-,,0.451613,0.129032,511,146,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",T-S-011,100875322066,T-Shirt #11,350,250,40,3.5,1015.25,-,,0.451613,0.129032,458,131,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Москва,"Одежда, обувь и аксессуары",T-S-012,100140725608,T-Shirt #12,350,250,40,3.5,558.0,-,,1.072581,0.306452,598,171,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",T-S-012,100140725608,T-Shirt #12,350,250,40,3.5,248.0,-,,1.072581,0.306452,266,76,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Москва,"Одежда, обувь и аксессуары",HOO-001,100915290107,Hoodie #1,350,250,40,3.5,566.857143,-,,0.395161,0.112903,224,64,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",HOO-001,100915290107,Hoodie #1,350,250,40,3.5,735.142857,-,,0.395161,0.112903,290,83,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Москва,"Одежда, обувь и аксессуары",HOO-002,100944886337,Hoodie #2,350,250,40,3.5,2976.0,-,,0.112903,0.032258,336,96,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Санкт-Петербург,"Одежда, обувь и аксессуары",HOO-002,100944886337,Hoodie #2,350,250,40,3.5,1643.0,-,,0.112903,0.032258,186,53,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
Москва,"Одежда, обувь и аксессуары",HOO-003,100632289495,Hoodie #3,350,250,40,3.5,8060.0,-,,0.056452,0.016129,455,130,2026-01-05T10:00:00+00:00,demo/goods_turnover/2025-01-31/turnover.csv
