SHOP_SKU,ARTICLE,MARKET_SKU,PRODUCT_NAME,VALID,RESERVED,AVAILABLE_FOR_ORDER,QUARANTINE,UTILIZATION,DEFECT,EXPIRED,LENGTH,WIDTH,HEIGHT,WEIGHT,WAREHOUSE,SELLING_STATUS,RECOMMENDATIONS,TURNOVER,_LOADED_AT,_SOURCE_FILE
T-S-001,T-S-001,100994134931,T-Shirt #1,143,0,143,0,0,0,0,0,0,0,0,Демо-склад Москва,Продажи идут,,Нет продаж,2026-01-05T10:00:00+00:00,demo/stock_reports/2025-01-02/stocks_on_warehouses.csv
T-S-002,T-S-002,100023731241,T-Shirt #2,125,0,125,0,0,0,0,0,0,0,0,Демо-склад Москва,Продажи идут,,Нет продаж,2026-01-05T10:00:00+00:00,demo/stock_reports/2025-01-02/stocks_on_warehouses.csv
T-S-003,T-S-003,100563929279,T-Shirt #3,183,0,183,0,0,0,0,0,0,0,0,Демо-склад Москва,Продажи идут,,Нет продаж,2026-01-05T10:00:00+00:00,demo/stock_reports/2025-01-02/stocks_on_warehouses.csv
T-S-004,T-S-004,100112648476,T-Shirt #4,96,0,96,0,0,0,0,0,0,0,0,Демо-склад Москва,Продажи идут,,Нет продаж,2026-01-05T10:00:00+00:00,demo/stock_reports/2025-01-02/stocks_on_warehouses.csv
T-S-005,T-S-005,100907478922,T-Shirt #5,155,0,155,0,0,0,0,0,0,0,0,Демо-склад Москва,Продажи идут,,Нет продаж,2026-01-05T10:00:00+00:00,demo/stock_reports/2025-01-02/stocks_on_warehouses.csv
T-S-006,T-S-006,100904405552,T-Shirt #6,97,0,97,0,0,0,0,0,0,0,0,Демо-склад Москва,Продажи идут,,Нет продаж,2026-01-05T10:00:00+00:00,demo/stock_reports/2025-01-02/stocks_on_warehouses.csv
T-S-007,T-S-007,100680139942,T-Shirt #7,113,0,113,0,0,0,0,0,0,0,0,Демо-склад Москва,Продажи идут,,Нет продаж,2026-01-05T10:00:00+00:00,demo/stock_reports/2025-01-02/stocks_on_warehouses.csv
T-S-008,T-S-008,100251702583,T-Shirt #8,180,0,180,0,0,0,0,0,0,0,0,Демо-склад Москва,Продажи идут,,Нет продаж,2026-01-05T10:00:00+00:00,demo/stock_reports/2025-01-02/stocks_on_warehouses.csv
T-S-009,T-S-009,100013765025,T-Shirt #9,118,0,118,0,0,0,0,0,0,0,0,Демо-склад Москва,Продажи идут,,Нет продаж,2026-01-05T10:00:00+00:00,demo/stock_reports/2025-01-02/stocks_on_warehouses.csv
T-S-010,T-S-010,100415241284,T-Shirt #10,166,0,166,0,0,0,0,0,0,0,0,Демо-склад Москва,Продажи идут,,Нет продаж,2026-01-05T10:00:00+00:00,demo/stock_reports/2025-01-02/stocks_on_warehouses.csv
