SNAPSHOT_DATE,WAREHOUSE_ID,OFFERID,STOCKS,UPDATEDAT,_LOADED_AT,_SOURCE_FILE
2025-01-01,147,T-S-001,"[{""type"": ""FIT"", ""count"": 143}, {""type"": ""AVAILABLE"", ""count"": 143}]",2025-01-01T06:00:00+03:00,2026-01-05T10:00:00+00:00,demo
2025-01-01,147,T-S-002,"[{""type"": ""FIT"", ""count"": 125}, {""type"": ""AVAILABLE"", ""count"": 125}]",2025-01-01T06:00:00+03:00,2026-01-05T10:00:00+00:00,demo
2025-01-01,147,T-S-003,"[{""type"": ""FIT"", ""count"": 183}, {""type"": ""AVAILABLE"", ""count"": 183}]",2025-01-01T06:00:00+03:00,2026-01-05T10:00:00+00:00,demo
2025-01-01,147,T-S-004,"[{""type"": ""FIT"", ""count"": 96}, {""type"": ""AVAILABLE"", ""count"": 96}]",2025-01-01T06:00:00+03:00,2026-01-05T10:00:00+00:00,demo
2025-01-01,147,T-S-005,"[{""type"": ""FIT"", ""count"": 155}, {""type"": ""AVAILABLE"", ""count"": 155}]",2025-01-01T06:00:00+03:00,2026-01-05T10:00:00+00:00,demo
2025-01-01,147,T-S-006,"[{""type"": ""FIT"", ""count"": 97}, {""type"": ""AVAILABLE"", ""count"": 97}]",2025-01-01T06:00:00+03:00,2026-01-05T10:00:00+00:00,demo
2025-01-01,147,T-S-007,"[{""type"": ""FIT"", ""count"": 113}, {""type"": ""AVAILABLE"", ""count"": 113}]",2025-01-01T06:00:00+03:00,2026-01-05T10:00:00+00:00,demo
2025-01-01,147,T-S-008,"[{""type"": ""FIT"", ""count"": 180}, {""type"": ""AVAILABLE"", ""count"": 180}]",2025-01-01T06:00:00+03:00,2026-01-05T10:00:00+00:00,demo
2025-01-01,147,T-S-009,"[{""type"": ""FIT"", ""count"": 118}, {""type"": ""AVAILABLE"", ""count"": 118}]",2025-01-01T06:00:00+03:00,2026-01-05T10:00:00+00:00,demo
2025-01-01,147,T-S-010,"[{""type"": ""FIT"", ""count"": 166}, {""type"": ""AVAILABLE"", ""count"": 166}]",2025-01-01T06:00:00+03:00,2026-01-05T10:00:00+00:00,demo
2025-01-01,147,T-S-011,"[{""type"": ""FIT"", ""count"": 147}, {""type"": ""AVAILABLE"", ""count"": 147}]",2025-01-01T06:00:00+03:00,2026-01-05T10:00:00+00:00,demo
2025-01-01,147,T-S-012,"[{""type"": ""FIT"", ""count"": 176}, {""type"": ""AVAILABLE"", ""count"": 176}]",2025-01-01T06:00:00+03:00,2026-01-05T10:00:00+00:00,demo
2025-01-01,147,HOO-001,"[{""type"": ""FIT"", ""count"": 65}, {""type"": ""AVAILABLE"", ""count"": 65}]",2025-01-01T06:00:00+03:00,2026-01-05T10:00:00+00:00,demo
2025-01-01,147,HOO-002,"[{""type"": ""FIT"", ""count"": 96}, {""type"": ""AVAILABLE"", ""count"": 96}]",2025-01-01T06:00:00+03:00,2026-01-05T10:00:00+00:00,demo
2025-01-01,147,HOO-003,"[{""type"": ""FIT"", ""count"": 130}, {""type"": ""AVAILABLE"", ""count"": 130}]",2025-01-01T06:00:00+03:00,2026-01-05T10:00:00+00:00,demo
2025-01-01,147,HOO-004,"[{""type"": ""FIT"", ""count"": 175}, {""type"": ""AVAILABLE"", ""count"": 175}]",2025-01-01T06:00:00+03:00,2026-01-05T10:00:00+00:00,demo
2025-01-01,147,HOO-005,"[{""type"": ""FIT"", ""count"": 119}, {""type"": ""AVAILABLE"", ""count"": 119}]",2025-01-01T06:00:00+03:00,2026-01-05T10:00:00+00:00,demo
2025-01-01,147,HOO-006,"[{""type"": ""FIT"", ""count"": 169}, {""type"": ""AVAILABLE"", ""count"": 169}]",2025-01-01T06:00:00+03:00,2026-01-05T10:00:00+00:00,demo
2025-01-01,147,HOO-007,"[{""type"": ""FIT"", ""count"": 160}, {""type"": ""AVAILABLE"", ""count"": 160}]",2025-01-01T06:00:00+03:00,2026-01-05T10:00:00+00:00,demo
2025-01-01,147,HOO-008,"[{""type"": ""FIT"", ""count"": 153}, {""type"": ""AVAILABLE"", ""count"": 153}]",2025-01-01T06:00:00+03:00,2026-01-05T10:00:00+00:00,demo
2025-01-01,147,CAP-001,"[{""type"": ""FIT"", ""count"": 175}, {""type"": ""AVAILABLE"", ""count"": 175}]",2025-01-01T06:00:00+03:00,2026-01-05T10:00:00+00:00,demo
