ORDER_ID,CREATION_DATE,ORDER_TYPE,SHOP_SKU,OFFER_NAME,BILLING_PRICE,TRANSFERRED_FOR_DELIVERY,DELIVERED_OR_RETURNED,DELIVERY_DATE,OFFER_STATUS,STATUS_CHANGED,SHIPMENT_WAREHOUSE,DELIVERY_REGION,BUYER_PAYMENT_AMOUNT,REFUND_BUYER_PAYMENT_AMOUNT,_LOADED_AT,_SOURCE_FILE
ORD-100001,01.01.2025,Sale to individual,ACC-003,Accessorie #3,1190.0,1,1,05.01.2025,Delivered to buyer,2025-01-04 16:55:00,Яндекс.Маркет (Софьино),Санкт-Петербург,1071.0,,2026-01-05T10:00:00+00:00,demo
ORD-100002,02.01.2025,Sale to individual,T-S-009,T-Shirt #9,2030.0,1,1,06.01.2025,Delivered to buyer,2025-01-07 22:33:00,Яндекс.Маркет (Софьино),Москва,2030.0,,2026-01-05T10:00:00+00:00,demo
ORD-100003,02.01.2025,Sale to individual,T-S-002,T-Shirt #2,2190.0,1,1,04.01.2025,Delivered to buyer,2025-01-03 11:37:00,Яндекс.Маркет (Софьино),Москва,2190.0,,2026-01-05T10:00:00+00:00,demo
ORD-100004,02.01.2025,Sale to individual,HOO-008,Hoodie #8,5940.0,1,1,04.01.2025,Delivered to buyer,2025-01-07 09:32:00,Яндекс.Маркет (Софьино),Санкт-Петербург,5049.0,,2026-01-05T10:00:00+00:00,demo
ORD-100005,02.01.2025,Sale to individual,T-S-008,T-Shirt #8,2110.0,1,1,06.01.2025,Delivered to buyer,2025-01-06 11:50:00,Яндекс.Маркет (Софьино),Новосибирск,1899.0,,2026-01-05T10:00:00+00:00,demo
ORD-100005,02.01.2025,Sale to individual,T-S-004,T-Shirt #4,1960.0,2,2,06.01.2025,Delivered to buyer,2025-01-03 11:50:00,Яндекс.Маркет (Софьино),Новосибирск,3920.0,,2026-01-05T10:00:00+00:00,demo
ORD-100006,03.01.2025,Sale to individual,T-S-012,T-Shirt #12,2660.0,2,2,05.01.2025,Delivered to buyer,2025-01-04 11:12:00,Яндекс.Маркет (Софьино),Казань,5320.0,,2026-01-05T10:00:00+00:00,demo
ORD-100006,03.01.2025,Sale to individual,T-S-011,T-Shirt #11,2370.0,2,2,05.01.2025,Delivered to buyer,2025-01-04 11:12:00,Яндекс.Маркет (Софьино),Казань,4029.0,,2026-01-05T10:00:00+00:00,demo
ORD-100007,03.01.2025,Sale to individual,ACC-003,Accessorie #3,1190.0,1,1,04.01.2025,Delivered to buyer,2025-01-07 18:34:00,Яндекс.Маркет (Софьино),Санкт-Петербург,1071.0,,2026-01-05T10:00:00+00:00,demo
ORD-100008,03.01.2025,Sale to individual,T-S-007,T-Shirt #7,2890.0,2,2,07.01.2025,Delivered to buyer,2025-01-07 11:55:00,Яндекс.Маркет (Софьино),Москва,5491.0,,2026-01-05T10:00:00+00:00,demo
ORD-100009,03.01.2025,Sale to individual,T-S-008,T-Shirt #8,2110.0,1,1,07.01.2025,Delivered to buyer,2025-01-08 14:44:00,Яндекс.Маркет (Софьино),Санкт-Петербург,1793.5,,2026-01-05T10:00:00+00:00,demo
ORD-100010,03.01.2025,Sale to individual,HOO-005,Hoodie #5,4850.0,1,1,04.01.2025,Delivered to buyer,2025-01-08 19:20:00,Яндекс.Маркет (Софьино),Екатеринбург,4850.0,,2026-01-05T10:00:00+00:00,demo
ORD-100011,03.01.2025,Sale to individual,T-S-002,T-Shirt #2,2190.0,1,1,04.01.2025,Delivered to buyer,2025-01-05 21:11:00,Яндекс.Маркет (Софьино),Новосибирск,1861.5,,2026-01-05T10:00:00+00:00,demo
ORD-100011,03.01.2025,Sale to individual,CAP-005,Cap #5,1800.0,1,1,04.01.2025,Delivered to buyer,2025-01-04 21:11:00,Яндекс.Маркет (Софьино),Новосибирск,1530.0,,2026-01-05T10:00:00+00:00,demo
ORD-100012,03.01.2025,Sale to individual,T-S-008,T-Shirt #8,2110.0,1,1,06.01.2025,Delivered to buyer,2025-01-07 18:37:00,Яндекс.Маркет (Софьино),Казань,2004.5,,2026-01-05T10:00:00+00:00,demo
ORD-100013,04.01.2025,Sale to individual,T-S-010,T-Shirt #10,2800.0,1,1,07.01.2025,Delivered to buyer,2025-01-09 18:41:00,Яндекс.Маркет (Софьино),Москва,2520.0,,2026-01-05T10:00:00+00:00,demo
ORD-100013,04.01.2025,Sale to individual,CAP-002,Cap #2,1800.0,1,1,07.01.2025,Delivered to buyer,2025-01-09 18:41:00,Яндекс.Маркет (Софьино),Москва,1800.0,,2026-01-05T10:00:00+00:00,demo
ORD-100014,04.01.2025,Sale to individual,ACC-001,Accessorie #1,990.0,1,1,06.01.2025,Delivered to buyer,2025-01-06 16:16:00,Яндекс.Маркет (Софьино),Санкт-Петербург,940.5,,2026-01-05T10:00:00+00:00,demo
ORD-100015,04.01.2025,Sale to individual,ACC-004,Accessorie #4,1120.0,1,1,07.01.2025,Delivered to buyer,2025-01-07 21:34:00,Яндекс.Маркет (Софьино),Екатеринбург,952.0,,2026-01-05T10:00:00+00:00,demo
ORD-100015,04.01.2025,Sale to individual,CAP-004,Cap #4,1680.0,1,1,07.01.2025,Delivered to buyer,2025-01-07 21:34:00,Яндекс.Маркет (Софьино),Екатеринбург,1680.0,,2026-01-05T10:00:00+00:00,demo
ORD-100016,04.01.2025,Sale to individual,T-S-010,T-Shirt #10,2800.0,1,1,06.01.2025,Delivered to buyer,2025-01-07 22:06:00,Яндекс.Маркет (Софьино),Санкт-Петербург,2800.0,,2026-01-05T10:00:00+00:00,demo
ORD-100017,04.01.2025,Sale to individual,HOO-007,Hoodie #7,6730.0,1,1,05.01.2025,Delivered to buyer,2025-01-07 15:16:00,Яндекс.Маркет (Софьино),Казань,6730.0,,2026-01-05T10:00:00+00:00,demo
ORD-100018,05.01.2025,Sale to individual,CAP-002,Cap #2,1800.0,1,1,09.01.2025,Delivered to buyer,2025-01-10 10:47:00,Яндекс.Маркет (Софьино),Москва,1800.0,,2026-01-05T10:00:00+00:00,demo
ORD-100018,05.01.2025,Sale to individual,HOO-004,Hoodie #4,5110.0,1,1,09.01.2025,Delivered to buyer,2025-01-10 10:47:00,Яндекс.Маркет (Софьино),Москва,4854.5,,2026-01-05T10:00:00+00:00,demo
ORD-100019,05.01.2025,Sale to individual,T-S-010,T-Shirt #10,2800.0,1,1,07.01.2025,Delivered to buyer,2025-01-07 10:27:00,Яндекс.Маркет (Софьино),Москва,2800.0,,2026-01-05T10:00:00+00:00,demo
ORD-100020,05.01.2025,Sale to individual,CAP-002,Cap #2,1800.0,1,0,,Cancelled,2025-01-09 09:22:00,Яндекс.Маркет (Софьино),Санкт-Петербург,,,2026-01-05T10:00:00+00:00,demo
ORD-100020,05.01.2025,Sale to individual,ACC-003,Accessorie #3,1190.0,1,0,,Cancelled,2025-01-08 09:22:00,Яндекс.Маркет (Софьино),Санкт-Петербург,,,2026-01-05T10:00:00+00:00,demo
ORD-100021,05.01.2025,Sale to individual,T-S-007,T-Shirt #7,2890.0,2,2,07.01.2025,Delivered to buyer,2025-01-09 20:42:00,Яндекс.Маркет (Софьино),Москва,5780.0,,2026-01-05T10:00:00+00:00,demo
ORD-100022,06.01.2025,Sale to individual,T-S-010,T-Shirt #10,2800.0,1,1,10.01.2025,Delivered to buyer,2025-01-08 11:52:00,Яндекс.Маркет (Софьино),Санкт-Петербург,2800.0,,2026-01-05T10:00:00+00:00,demo
ORD-100023,07.01.2025,Sale to individual,HOO-001,Hoodie #1,5990.0,1,1,10.01.2025,Delivered to buyer,2025-01-10 20:17:00,Яндекс.Маркет (Софьино),Казань,5990.0,,2026-01-05T10:00:00+00:00,demo
ORD-100023,07.01.2025,Sale to individual,HOO-008,Hoodie #8,5940.0,1,1,10.01.2025,Delivered to buyer,2025-01-10 20:17:00,Яндекс.Маркет (Софьино),Казань,5049.0,,2026-01-05T10:00:00+00:00,demo
ORD-100023,07.01.2025,Sale to individual,CAP-004,Cap #4,1680.0,1,1,10.01.2025,Delivered to buyer,2025-01-12 20:17:00,Яндекс.Маркет (Софьино),Казань,1680.0,,2026-01-05T10:00:00+00:00,demo
ORD-100024,07.01.2025,Sale to individual,HOO-005,Hoodie #5,4850.0,1,1,10.01.2025,Delivered to buyer,2025-01-08 13:46:00,Яндекс.Маркет (Софьино),Новосибирск,4607.5,,2026-01-05T10:00:00+00:00,demo
ORD-100024,07.01.2025,Sale to individual,HOO-001,Hoodie #1,5990.0,2,2,10.01.2025,Delivered to buyer,2025-01-12 13:46:00,Яндекс.Маркет (Софьино),Новосибирск,11980.0,,2026-01-05T10:00:00+00:00,demo
ORD-100025,07.01.2025,Sale to individual,T-S-011,T-Shirt #11,2370.0,1,1,09.01.2025,Delivered to buyer,2025-01-10 18:46:00,Яндекс.Маркет (Софьино),Казань,2370.0,,2026-01-05T10:00:00+00:00,demo
ORD-100026,08.01.2025,Sale to individual,T-S-011,T-Shirt #11,2370.0,1,1,12.01.2025,Delivered to buyer,2025-01-12 12:42:00,Яндекс.Маркет (Софьино),Казань,2370.0,,2026-01-05T10:00:00+00:00,demo
ORD-100027,08.01.2025,Sale to individual,HOO-004,Hoodie #4,5110.0,1,0,,Cancelled,2025-01-10 14:43:00,Яндекс.Маркет (Софьино),Москва,,,2026-01-05T10:00:00+00:00,demo
ORD-100027,08.01.2025,Sale to individual,T-S-011,T-Shirt #11,2370.0,2,0,,Cancelled,2025-01-13 14:43:00,Яндекс.Маркет (Софьино),Москва,,,2026-01-05T10:00:00+00:00,demo
ORD-100028,08.01.2025,Sale to individual,HOO-008,Hoodie #8,5940.0,1,1,12.01.2025,Delivered to buyer,2025-01-13 13:29:00,Яндекс.Маркет (Софьино),Санкт-Петербург,5643.0,,2026-01-05T10:00:00+00:00,demo
ORD-100028,08.01.2025,Sale to individual,HOO-001,Hoodie #1,5990.0,1,1,12.01.2025,Delivered to buyer,2025-01-10 13:29:00,Яндекс.Маркет (Софьино),Санкт-Петербург,5990.0,,2026-01-05T10:00:00+00:00,demo
ORD-100029,08.01.2025,Sale to individual,T-S-002,T-Shirt #2,2190.0,2,0,,Cancelled,2025-01-09 12:14:00,Яндекс.Маркет (Софьино),Санкт-Петербург,,,2026-01-05T10:00:00+00:00,demo
ORD-100030,08.01.2025,Sale to individual,CAP-001,Cap #1,1630.0,1,1,10.01.2025,Delivered to buyer,2025-01-10 14:56:00,Яндекс.Маркет (Софьино),Москва,1467.0,,2026-01-05T10:00:00+00:00,demo
ORD-100030,08.01.2025,Sale to individual,T-S-012,T-Shirt #12,2660.0,1,1,10.01.2025,Delivered to buyer,2025-01-12 14:56:00,Яндекс.Маркет (Софьино),Москва,2261.0,,2026-01-05T10:00:00+00:00,demo
ORD-100030,08.01.2025,Sale to individual,T-S-009,T-Shirt #9,2030.0,1,1,10.01.2025,Delivered to buyer,2025-01-10 14:56:00,Яндекс.Маркет (Софьино),Москва,1725.5,,2026-01-05T10:00:00+00:00,demo
ORD-100031,09.01.2025,Sale to individual,HOO-006,Hoodie #6,6060.0,2,2,12.01.2025,Delivered to buyer,2025-01-13 20:29:00,Яндекс.Маркет (Софьино),Екатеринбург,10302.0,,2026-01-05T10:00:00+00:00,demo
ORD-100031,09.01.2025,Sale to individual,CAP-002,Cap #2,1800.0,1,1,12.01.2025,Delivered to buyer,2025-01-13 20:29:00,Яндекс.Маркет (Софьино),Екатеринбург,1620.0,,2026-01-05T10:00:00+00:00,demo
ORD-100032,09.01.2025,Sale to individual,T-S-012,T-Shirt #12,2660.0,1,1,12.01.2025,Delivered to buyer,2025-01-11 20:15:00,Яндекс.Маркет (Софьино),Новосибирск,2527.0,,2026-01-05T10:00:00+00:00,demo
ORD-100032,09.01.2025,Sale to individual,T-S-009,T-Shirt #9,2030.0,1,1,12.01.2025,Delivered to buyer,2025-01-12 20:15:00,Яндекс.Маркет (Софьино),Новосибирск,1928.5,,2026-01-05T10:00:00+00:00,demo
ORD-100033,09.01.2025,Sale to individual,T-S-010,T-Shirt #10,2800.0,1,1,11.01.2025,Delivered to buyer,2025-01-13 09:08:00,Яндекс.Маркет (Софьино),Санкт-Петербург,2800.0,,2026-01-05T10:00:00+00:00,demo
ORD-100034,09.01.2025,Sale to individual,T-S-002,T-Shirt #2,2190.0,1,1,13.01.2025,Delivered to buyer,2025-01-13 13:34:00,Яндекс.Маркет (Софьино),Новосибирск,1861.5,,2026-01-05T10:00:00+00:00,demo
ORD-100034,09.01.2025,Sale to individual,CAP-004,Cap #4,1680.0,2,2,13.01.2025,Delivered to buyer,2025-01-12 13:34:00,Яндекс.Маркет (Софьино),Новосибирск,3360.0,,2026-01-05T10:00:00+00:00,demo
ORD-100035,09.01.2025,Sale to individual,CAP-002,Cap #2,1800.0,1,1,13.01.2025,Delivered to buyer,2025-01-11 20:24:00,Яндекс.Маркет (Софьино),Екатеринбург,1620.0,,2026-01-05T10:00:00+00:00,demo
ORD-100035,09.01.2025,Sale to individual,HOO-003,Hoodie #3,4420.0,1,1,13.01.2025,Delivered to buyer,2025-01-13 20:24:00,Яндекс.Маркет (Софьино),Екатеринбург,3978.0,,2026-01-05T10:00:00+00:00,demo
ORD-100036,10.01.2025,Sale to individual,T-S-007,T-Shirt #7,2890.0,1,1,14.01.2025,Delivered to buyer,2025-01-15 14:21:00,Яндекс.Маркет (Софьино),Екатеринбург,2601.0,,2026-01-05T10:00:00+00:00,demo
ORD-100036,10.01.2025,Sale to individual,T-S-012,T-Shirt #12,2660.0,1,1,14.01.2025,Delivered to buyer,2025-01-14 14:21:00,Яндекс.Маркет (Софьино),Екатеринбург,2660.0,,2026-01-05T10:00:00+00:00,demo
ORD-100036,10.01.2025,Sale to individual,T-S-006,T-Shirt #6,2570.0,1,1,14.01.2025,Delivered to buyer,2025-01-12 14:21:00,Яндекс.Маркет (Софьино),Екатеринбург,2313.0,,2026-01-05T10:00:00+00:00,demo
ORD-100037,10.01.2025,Sale to individual,T-S-012,T-Shirt #12,2660.0,2,2,13.01.2025,Delivered to buyer,2025-01-14 12:24:00,Яндекс.Маркет (Софьино),Казань,5054.0,,2026-01-05T10:00:00+00:00,demo
ORD-100038,10.01.2025,Sale to individual,CAP-002,Cap #2,1800.0,1,1,14.01.2025,Delivered to buyer,2025-01-11 21:05:00,Яндекс.Маркет (Софьино),Москва,1800.0,,2026-01-05T10:00:00+00:00,demo
ORD-100039,11.01.2025,Sale to individual,HOO-006,Hoodie #6,6060.0,1,1,13.01.2025,Return received in warehouse,2025-01-12 08:15:00,Яндекс.Маркет (Софьино),Санкт-Петербург,5454.0,5454.0,2026-01-05T10:00:00+00:00,demo
