ORDER_ID,ORDER_STATUS,CREATION_DATE,ORDER_TYPE,SUMMARY_COMMISSION,SUM_BILLING_PRICE_OF_ITEMS,INCOME_WITHOUT_SERVICES,BUYER_PAYMENT,BUYER_PAYMENT_STATUS,SALE_COMMISSION,BUYER_DELIVERY,CROSSREGIONAL_DELIVERY,BUYER_PAYMENT_ACCEPT,BUYER_PAYMENT_TRANSFER,LOYALTY_PROGRAM,BOOST,INSTALLMENT,WAREHOUSE_PROCESSING,_LOADED_AT,_SOURCE_FILE
ORD-100001,Delivered,01.01.2025,Sale to individual,260.26,1071.0,810.74,1071.0,Transferred,160.65,53.55,10.71,5.36,8.57,21.42,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100002,Delivered,02.01.2025,Sale to individual,493.29,2030.0,1536.71,2030.0,Transferred,304.5,101.5,20.3,10.15,16.24,40.6,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100003,Delivered,02.01.2025,Sale to individual,532.17,2190.0,1657.83,2190.0,Transferred,328.5,109.5,21.9,10.95,17.52,43.8,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100004,Delivered,02.01.2025,Sale to individual,1226.91,5049.0,3822.09,5049.0,Transferred,757.35,252.45,50.49,25.25,40.39,100.98,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100005,Delivered,02.01.2025,Sale to individual,1414.01,5819.0,4404.99,5819.0,Transferred,872.85,290.95,58.19,29.09,46.55,116.38,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100006,Delivered,03.01.2025,Sale to individual,2271.8,9349.0,7077.2,9349.0,Transferred,1402.35,467.45,93.49,46.74,74.79,186.98,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100007,Delivered,03.01.2025,Sale to individual,260.26,1071.0,810.74,1071.0,Transferred,160.65,53.55,10.71,5.36,8.57,21.42,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100008,Delivered,03.01.2025,Sale to individual,1334.32,5491.0,4156.68,5491.0,Transferred,823.65,274.55,54.91,27.46,43.93,109.82,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100009,Delivered,03.01.2025,Sale to individual,435.82,1793.5,1357.68,1793.5,Transferred,269.02,89.68,17.93,8.97,14.35,35.87,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100010,Delivered,03.01.2025,Sale to individual,1178.55,4850.0,3671.45,4850.0,Transferred,727.5,242.5,48.5,24.25,38.8,97.0,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100011,Delivered,03.01.2025,Sale to individual,824.13,3391.5,2567.37,3391.5,Transferred,508.72,169.58,33.91,16.96,27.13,67.83,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100012,Delivered,03.01.2025,Sale to individual,487.11,2004.5,1517.39,2004.5,Transferred,300.68,100.23,20.05,10.02,16.04,40.09,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100013,Delivered,04.01.2025,Sale to individual,1049.76,4320.0,3270.24,4320.0,Transferred,648.0,216.0,43.2,21.6,34.56,86.4,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100014,Delivered,04.01.2025,Sale to individual,228.53,940.5,711.97,940.5,Transferred,141.07,47.03,9.4,4.7,7.52,18.81,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100015,Delivered,04.01.2025,Sale to individual,639.58,2632.0,1992.42,2632.0,Transferred,394.8,131.6,26.32,13.16,21.06,52.64,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100016,Delivered,04.01.2025,Sale to individual,680.4,2800.0,2119.6,2800.0,Transferred,420.0,140.0,28.0,14.0,22.4,56.0,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100017,Delivered,04.01.2025,Sale to individual,1635.39,6730.0,5094.61,6730.0,Transferred,1009.5,336.5,67.3,33.65,53.84,134.6,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100018,Delivered,05.01.2025,Sale to individual,1617.05,6654.5,5037.45,6654.5,Transferred,998.17,332.73,66.55,33.27,53.24,133.09,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100019,Delivered,05.01.2025,Sale to individual,680.4,2800.0,2119.6,2800.0,Transferred,420.0,140.0,28.0,14.0,22.4,56.0,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100021,Delivered,05.01.2025,Sale to individual,1404.54,5780.0,4375.46,5780.0,Transferred,867.0,289.0,57.8,28.9,46.24,115.6,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100022,Delivered,06.01.2025,Sale to individual,680.4,2800.0,2119.6,2800.0,Transferred,420.0,140.0,28.0,14.0,22.4,56.0,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100023,Delivered,07.01.2025,Sale to individual,3090.71,12719.0,9628.29,12719.0,Transferred,1907.85,635.95,127.19,63.59,101.75,254.38,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100024,Delivered,07.01.2025,Sale to individual,4030.77,16587.5,12556.73,16587.5,Transferred,2488.12,829.38,165.88,82.94,132.7,331.75,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100025,Delivered,07.01.2025,Sale to individual,575.91,2370.0,1794.09,2370.0,Transferred,355.5,118.5,23.7,11.85,18.96,47.4,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100026,Delivered,08.01.2025,Sale to individual,575.91,2370.0,1794.09,2370.0,Transferred,355.5,118.5,23.7,11.85,18.96,47.4,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100028,Delivered,08.01.2025,Sale to individual,2826.81,11633.0,8806.19,11633.0,Transferred,1744.95,581.65,116.33,58.16,93.06,232.66,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100030,Delivered,08.01.2025,Sale to individual,1325.21,5453.5,4128.29,5453.5,Transferred,818.02,272.68,54.54,27.27,43.63,109.07,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100031,Delivered,09.01.2025,Sale to individual,2897.05,11922.0,9024.95,11922.0,Transferred,1788.3,596.1,119.22,59.61,95.38,238.44,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100032,Delivered,09.01.2025,Sale to individual,1082.68,4455.5,3372.82,4455.5,Transferred,668.32,222.78,44.55,22.28,35.64,89.11,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100033,Delivered,09.01.2025,Sale to individual,680.4,2800.0,2119.6,2800.0,Transferred,420.0,140.0,28.0,14.0,22.4,56.0,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100034,Delivered,09.01.2025,Sale to individual,1268.83,5221.5,3952.67,5221.5,Transferred,783.23,261.07,52.22,26.11,41.77,104.43,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100035,Delivered,09.01.2025,Sale to individual,1360.31,5598.0,4237.69,5598.0,Transferred,839.7,279.9,55.98,27.99,44.78,111.96,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100036,Delivered,10.01.2025,Sale to individual,1840.48,7574.0,5733.52,7574.0,Transferred,1136.1,378.7,75.74,37.87,60.59,151.48,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100037,Delivered,10.01.2025,Sale to individual,1228.12,5054.0,3825.88,5054.0,Transferred,758.1,252.7,50.54,25.27,40.43,101.08,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100038,Delivered,10.01.2025,Sale to individual,437.4,1800.0,1362.6,1800.0,Transferred,270.0,90.0,18.0,9.0,14.4,36.0,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100039,Full return accepted at warehouse,11.01.2025,Sale to individual,1325.32,5454.0,4128.68,5454.0,Transferred,818.1,272.7,54.54,27.27,43.63,109.08,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100040,Delivered,11.01.2025,Sale to individual,702.27,2890.0,2187.73,2890.0,Transferred,433.5,144.5,28.9,14.45,23.12,57.8,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100041,Delivered,11.01.2025,Sale to individual,1715.58,7060.0,5344.42,7060.0,Transferred,1059.0,353.0,70.6,35.3,56.48,141.2,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100043,Delivered,12.01.2025,Sale to individual,2128.08,8757.5,6629.42,8757.5,Transferred,1313.62,437.88,87.58,43.79,70.06,175.15,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100044,Delivered,13.01.2025,Sale to individual,4158.7,17114.0,12955.3,17114.0,Transferred,2567.1,855.7,171.14,85.57,136.91,342.28,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100045,Delivered,13.01.2025,Sale to individual,848.56,3492.0,2643.44,3492.0,Transferred,523.8,174.6,34.92,17.46,27.94,69.84,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100046,Delivered,13.01.2025,Sale to individual,435.82,1793.5,1357.68,1793.5,Transferred,269.02,89.68,17.93,8.97,14.35,35.87,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100047,Delivered,13.01.2025,Sale to individual,1805.0,7428.0,5623.0,7428.0,Transferred,1114.2,371.4,74.28,37.14,59.42,148.56,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100049,Delivered,14.01.2025,Sale to individual,532.17,2190.0,1657.83,2190.0,Transferred,328.5,109.5,21.9,10.95,17.52,43.8,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100050,Delivered,14.01.2025,Sale to individual,1194.1,4914.0,3719.9,4914.0,Transferred,737.1,245.7,49.14,24.57,39.31,98.28,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100051,Delivered,15.01.2025,Sale to individual,503.98,2074.0,1570.02,2074.0,Transferred,311.1,103.7,20.74,10.37,16.59,41.48,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100052,Delivered,15.01.2025,Sale to individual,1243.19,5116.0,3872.81,5116.0,Transferred,767.4,255.8,51.16,25.58,40.93,102.32,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100053,Full return accepted at warehouse,15.01.2025,Sale to individual,1635.39,6730.0,5094.61,6730.0,Transferred,1009.5,336.5,67.3,33.65,53.84,134.6,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100054,Delivered,15.01.2025,Sale to individual,1669.05,6868.5,5199.45,6868.5,Transferred,1030.27,343.43,68.69,34.34,54.95,137.37,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100055,Delivered,15.01.2025,Sale to individual,986.58,4060.0,3073.42,4060.0,Transferred,609.0,203.0,40.6,20.3,32.48,81.2,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100056,Delivered,15.01.2025,Sale to individual,1243.8,5118.5,3874.7,5118.5,Transferred,767.77,255.93,51.19,25.59,40.95,102.37,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100057,Delivered,15.01.2025,Sale to individual,2044.6,8414.0,6369.4,8414.0,Transferred,1262.1,420.7,84.14,42.07,67.31,168.28,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100058,Delivered,16.01.2025,Sale to individual,614.06,2527.0,1912.94,2527.0,Transferred,379.05,126.35,25.27,12.63,20.22,50.54,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100059,Delivered,16.01.2025,Sale to individual,1471.86,6057.0,4585.14,6057.0,Transferred,908.55,302.85,60.57,30.29,48.46,121.14,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100060,Delivered,16.01.2025,Sale to individual,1134.32,4668.0,3533.68,4668.0,Transferred,700.2,233.4,46.68,23.34,37.34,93.36,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100061,Delivered,16.01.2025,Sale to individual,487.11,2004.5,1517.39,2004.5,Transferred,300.68,100.23,20.05,10.02,16.04,40.09,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100063,Delivered,17.01.2025,Sale to individual,738.23,3038.0,2299.77,3038.0,Transferred,455.7,151.9,30.38,15.19,24.3,60.76,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100064,Full return accepted at warehouse,18.01.2025,Sale to individual,289.17,1190.0,900.83,1190.0,Transferred,178.5,59.5,11.9,5.95,9.52,23.8,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100066,Full return accepted at warehouse,18.01.2025,Sale to individual,874.8,3600.0,2725.2,3600.0,Transferred,540.0,180.0,36.0,18.0,28.8,72.0,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100067,Delivered,18.01.2025,Sale to individual,1490.08,6132.0,4641.92,6132.0,Transferred,919.8,306.6,61.32,30.66,49.06,122.64,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100068,Delivered,19.01.2025,Sale to individual,646.38,2660.0,2013.62,2660.0,Transferred,399.0,133.0,26.6,13.3,21.28,53.2,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100069,Delivered,19.01.2025,Sale to individual,1064.34,4380.0,3315.66,4380.0,Transferred,657.0,219.0,43.8,21.9,35.04,87.6,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100070,Delivered,19.01.2025,Sale to individual,646.38,2660.0,2013.62,2660.0,Transferred,399.0,133.0,26.6,13.3,21.28,53.2,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100071,Delivered,19.01.2025,Sale to individual,1688.36,6948.0,5259.64,6948.0,Transferred,1042.2,347.4,69.48,34.74,55.58,138.96,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100072,Delivered,19.01.2025,Sale to individual,1007.61,4146.5,3138.89,4146.5,Transferred,621.98,207.33,41.47,20.73,33.17,82.93,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100073,Delivered,20.01.2025,Sale to individual,2167.68,8920.5,6752.82,8920.5,Transferred,1338.08,446.03,89.2,44.6,71.36,178.41,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100074,Delivered,20.01.2025,Sale to individual,1239.3,5100.0,3860.7,5100.0,Transferred,765.0,255.0,51.0,25.5,40.8,102.0,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100075,Delivered,20.01.2025,Sale to individual,2519.19,10367.0,7847.81,10367.0,Transferred,1555.05,518.35,103.67,51.84,82.94,207.34,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100076,Delivered,20.01.2025,Sale to individual,1075.03,4424.0,3348.97,4424.0,Transferred,663.6,221.2,44.24,22.12,35.39,88.48,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100077,Delivered,21.01.2025,Sale to individual,1354.0,5572.0,4218.0,5572.0,Transferred,835.8,278.6,55.72,27.86,44.58,111.44,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100078,Delivered,21.01.2025,Sale to individual,1226.91,5049.0,3822.09,5049.0,Transferred,757.35,252.45,50.49,25.25,40.39,100.98,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100079,Delivered,21.01.2025,Sale to individual,2172.42,8940.0,6767.58,8940.0,Transferred,1341.0,447.0,89.4,44.7,71.52,178.8,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100080,Delivered,21.01.2025,Sale to individual,3985.69,16402.0,12416.31,16402.0,Transferred,2460.3,820.1,164.02,82.01,131.22,328.04,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100081,Delivered,21.01.2025,Sale to individual,1581.93,6510.0,4928.07,6510.0,Transferred,976.5,325.5,65.1,32.55,52.08,130.2,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100082,Delivered,22.01.2025,Sale to individual,2359.9,9711.5,7351.6,9711.5,Transferred,1456.72,485.58,97.12,48.56,77.69,194.23,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100083,Delivered,22.01.2025,Sale to individual,993.03,4086.5,3093.47,4086.5,Transferred,612.98,204.33,40.87,20.43,32.69,81.73,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
ORD-100084,Delivered,22.01.2025,Sale to individual,1125.09,4630.0,3504.91,4630.0,Transferred,694.5,231.5,46.3,23.15,37.04,92.6,0.0,0.0,0.0,2026-01-05T10:00:00+00:00,demo
