model_code,model_name,collection,launch_date,lifecycle_status,discontinued_date
H-001,cumming of age,cumming of age,2025-01-22,discontinued,2026-01-01
H-004,olives,cumming of age,2025-02-01,discontinued,2026-01-01
H-005,one of your (lover)s,cumming of age,2025-03-12,discontinued,2026-01-01
L-001,cumming of age,cumming of age,2025-02-26,discontinued,2026-01-01
L-002,horny tiger,cumming of age,2025-01-10,discontinued,2026-01-01
L-003,martini,cumming of age,2025-01-16,core,
L-011,orchid,sri-lanka,2026-06-30,core,
T-006,mandarins,glimpse of summer,2025-12-10,core,
T-007,pussyplay,glimpse of summer,2025-12-10,core,
T-008,boys,glimpse of summer,2025-12-20,core,
T-010,herons,sri-lanka,2026-07-18,new,
SH-009,eat it,glimpse of summer,2025-12-12,core,
SH-012,lotus,sri-lanka,,new,
SH-013,feathers,sri-lanka,,new,
CAP-006,sun flower,caps,2025-04-28,core,
CAP-007,what a good day,caps,2025-06-12,core,
SC-001,courage / eruption,cumming of age,2025-09-23,core,
